Month-Year,Month,Arrivals (M),Departures (M)
Jul-15,1,1.65,1.43
Aug-15,2,1.42,1.45
Sep-15,3,1.46,1.48
Oct-15,4,1.65,1.4
Nov-15,5,1.42,1.44
Dec-15,6,1.58,1.85
Jan-16,7,1.91,1.64
Feb-16,8,1.56,1.37
Mar-16,9,1.48,1.54
Apr-16,10,1.47,1.49
May-16,11,1.3,1.39
Jun-16,12,1.33,1.58
Jul-16,13,1.83,1.57
Aug-16,14,1.51,1.55
Sep-16,15,1.59,1.6
Oct-16,16,1.78,1.5
Nov-16,17,1.51,1.54
Dec-16,18,1.72,1.99
Jan-17,19,2.07,1.78
Feb-17,20,1.63,1.39
Mar-17,21,1.52,1.58
Apr-17,22,1.65,1.71
May-17,23,1.4,1.49
Jun-17,24,1.42,1.67
Jul-17,25,1.91,1.65
Aug-17,26,1.62,1.66
Sep-17,27,1.67,1.7
Oct-17,28,1.88,1.57
Nov-17,29,1.6,1.64
Dec-17,30,1.76,2.08
Jan-18,31,2.13,1.81
Feb-18,32,1.73,1.52
Mar-18,33,1.68,1.74
Apr-18,34,1.67,1.71
May-18,35,1.48,1.56
Jun-18,36,1.51,1.79
Jul-18,37,2.01,1.73
Aug-18,38,1.72,1.77
Sep-18,39,1.72,1.76
Oct-18,40,1.96,1.64
Nov-18,41,1.67,1.72
Dec-18,42,1.85,2.18
Jan-19,43,2.22,1.91
Feb-19,44,1.79,1.52
Mar-19,45,1.66,1.68
Apr-19,46,1.67,1.83
May-19,47,1.59,1.63
Jun-19,48,1.56,1.8
Jul-19,49,2.01,1.76
Aug-19,50,1.78,1.81
Sep-19,51,1.75,1.8
Oct-19,52,1.98,1.68
Nov-19,53,1.72,1.74
Dec-19,54,1.89,2.24
Jan-20,55,2.26,1.97
Feb-20,56,1.57,1.29
Mar-20,57,0.92,0.83
Apr-20,58,0.02,0.06
May-20,59,0.02,0.03
Jun-20,60,0.03,0.04
Jul-20,61,0.02,0.06
Aug-20,62,0.01,0.06
Sep-20,63,0.02,0.05
Oct-20,64,0.02,0.05
Nov-20,65,0.03,0.04
Dec-20,66,0.03,0.05
Jan-21,67,0.03,0.04
Feb-21,68,0.03,0.03
Mar-21,69,0.03,0.03
Apr-21,70,0.05,0.06
May-21,71,0.11,0.11
Jun-21,72,0.1,0.1
Jul-21,73,0.07,0.09
Aug-21,74,0.03,0.04
Sep-21,75,0.02,0.03
Oct-21,76,0.02,0.04
Nov-21,77,0.07,0.09
Dec-21,78,0.2,0.23
Jan-22,79,0.27,0.19
Feb-22,80,0.27,0.18
Mar-22,81,0.37,0.34
Apr-22,82,0.57,0.61
May-22,83,0.65,0.66
Jun-22,84,0.73,0.88
Jul-22,85,1.08,0.97
Aug-22,86,1.03,0.94
Sep-22,87,1.07,1.04
Oct-22,88,1.21,1.01
Nov-22,89,1.19,1.18
Dec-22,90,1.26,1.52
Jan-23,91,1.61,1.38
Feb-23,92,1.38,1.07
Mar-23,93,1.34,1.32
Apr-23,94,1.37,1.43
May-23,95,1.3,1.36
Jun-23,96,1.36,1.56
Jul-23,97,1.74,1.49
Aug-23,98,1.54,1.52
Sep-23,99,1.6,1.59
Oct-23,100,1.74,1.48
Nov-23,101,1.56,1.59
Dec-23,102,1.7,2.03
Jan-24,103,2.12,1.75
Feb-24,104,1.79,1.49
Mar-24,105,1.61,1.71
Apr-24,106,1.63,1.65
May-24,107,1.48,1.56
Jun-24,108,1.53,1.76
Jul-24,109,1.93,1.65
Aug-24,110,1.66,1.69
Sep-24,111,1.73,1.8
Oct-24,112,1.94,1.66
Nov-24,113,1.71,1.78
Dec-24,114,1.85,2.26
Jan-25,115,2.38,2.03
Feb-25,116,1.87,1.52
Mar-25,117,1.69,1.67
Apr-25,118,1.76,1.93
May-25,119,1.66,1.68
Jun-25,120,1.62,1.81
Jul-25,121,2.07,1.82
Aug-25,122,1.81,1.84
