AIRPORT,IATA_CODE,Year,Month,Time_Index,INBOUND_DOM,OUTBOUND_DOM,TOTAL_DOM,INBOUND_INT,OUTBOUND_INT,TOTAL_INT,INBOUND,OUTBOUND,TOTAL
ADELAIDE,ADL,2009,1,1,259510,258122,517632,25145,19968,45113,284655,278090,562745
ADELAIDE,ADL,2009,2,2,234778,232142,466920,21389,14795,36184,256167,246937,503104
ADELAIDE,ADL,2009,3,3,280441,284820,565261,19466,18154,37620,299907,302974,602881
ADELAIDE,ADL,2009,4,4,274359,281163,555522,20087,21353,41440,294446,302516,596962
ADELAIDE,ADL,2009,5,5,258273,258930,517203,17085,19321,36406,275358,278251,553609
ADELAIDE,ADL,2009,6,6,242263,242610,484873,17680,19449,37129,259943,262059,522002
ADELAIDE,ADL,2009,7,7,269949,272217,542166,24152,21200,45352,294101,293417,587518
ADELAIDE,ADL,2009,8,8,269480,269355,538835,20859,19768,40627,290339,289123,579462
ADELAIDE,ADL,2009,9,9,264127,267734,531861,22039,22699,44738,286166,290433,576599
ADELAIDE,ADL,2009,10,10,284313,277153,561466,26544,20496,47040,310857,297649,608506
ADELAIDE,ADL,2009,11,11,264644,266874,531518,21906,21543,43449,286550,288417,574967
ADELAIDE,ADL,2009,12,12,262735,264356,527091,21402,24899,46301,284137,289255,573392
ADELAIDE,ADL,2010,1,13,260489,258574,519063,26569,22236,48805,287058,280810,567868
ADELAIDE,ADL,2010,2,14,251775,248044,499819,21576,16706,38282,273351,264750,538101
ADELAIDE,ADL,2010,3,15,292054,294892,586946,22086,20609,42695,314140,315501,629641
ADELAIDE,ADL,2010,4,16,290702,296008,586710,22393,23027,45420,313095,319035,632130
ADELAIDE,ADL,2010,5,17,269597,272381,541978,18231,21100,39331,287828,293481,581309
ADELAIDE,ADL,2010,6,18,260162,264413,524575,19742,21699,41441,279904,286112,566016
ADELAIDE,ADL,2010,7,19,293548,297128,590676,25332,21846,47178,318880,318974,637854
ADELAIDE,ADL,2010,8,20,283786,283560,567346,21613,21756,43369,305399,305316,610715
ADELAIDE,ADL,2010,9,21,282205,287767,569972,23201,22552,45753,305406,310319,615725
ADELAIDE,ADL,2010,10,22,313687,301158,614845,27111,19830,46941,340798,320988,661786
ADELAIDE,ADL,2010,11,23,283723,284665,568388,22317,21729,44046,306040,306394,612434
ADELAIDE,ADL,2010,12,24,292916,295017,587933,23166,25965,49131,316082,320982,637064
ADELAIDE,ADL,2011,1,25,275339,273902,549241,26556,22938,49494,301895,296840,598735
ADELAIDE,ADL,2011,2,26,253474,247288,500762,22587,17514,40101,276061,264802,540863
ADELAIDE,ADL,2011,3,27,293734,295355,589089,21787,21351,43138,315521,316706,632227
ADELAIDE,ADL,2011,4,28,282981,286574,569555,22983,25799,48782,305964,312373,618337
ADELAIDE,ADL,2011,5,29,273748,274350,548098,21287,24027,45314,295035,298377,593412
ADELAIDE,ADL,2011,6,30,237077,237976,475053,21671,22929,44600,258748,260905,519653
ADELAIDE,ADL,2011,7,31,273786,277032,550818,28138,25253,53391,301924,302285,604209
ADELAIDE,ADL,2011,8,32,263100,263060,526160,25653,24324,49977,288753,287384,576137
ADELAIDE,ADL,2011,9,33,262527,261455,523982,25906,25166,51072,288433,286621,575054
ADELAIDE,ADL,2011,10,34,278028,273082,551110,28930,23095,52025,306958,296177,603135
ADELAIDE,ADL,2011,11,35,264907,266632,531539,24604,23324,47928,289511,289956,579467
ADELAIDE,ADL,2011,12,36,262361,260566,522927,26035,31216,57251,288396,291782,580178
ADELAIDE,ADL,2012,1,37,258727,260757,519484,34486,27251,61737,293213,288008,581221
ADELAIDE,ADL,2012,2,38,250287,241533,491820,26957,20520,47477,277244,262053,539297
ADELAIDE,ADL,2012,3,39,277032,282302,559334,25746,25886,51632,302778,308188,610966
ADELAIDE,ADL,2012,4,40,264048,267193,531241,25399,26317,51716,289447,293510,582957
