id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27096,YPAD,large_airport,"Adelaide International Airport",-34.947512,138.533393,20,OC,Australia,AU,"South Australia",AU-SA,SA,Adelaide,1,YPAD,YPAD,ADL,,,https://en.wikipedia.org/wiki/Adelaide_International_Airport,,1000,2021-10-07T11:04:02+00:00
26920,YBNA,medium_airport,"Ballina Byron Gateway Airport",-28.833236,153.561471,7,OC,Australia,AU,"New South Wales",AU-NSW,NSW,Ballina,1,YBNA,YBNA,BNK,,,https://en.wikipedia.org/wiki/Ballina_Airport,,750,2022-01-21T19:06:20+00:00
26901,YBBN,large_airport,"Brisbane International Airport",-27.384199142456055,153.11700439453125,13,OC,Australia,AU,Queensland,AU-QLD,QLD,Brisbane,1,YBBN,YBBN,BNE,,,https://en.wikipedia.org/wiki/Brisbane_Airport,,1013175,2008-06-26T14:52:34+00:00
26904,YBCS,medium_airport,"Cairns International Airport",-16.878921,145.74948,10,OC,Australia,AU,Queensland,AU-QLD,QLD,Cairns,1,YBCS,YBCS,CNS,,https://www.cairnsairport.com.au/,https://en.wikipedia.org/wiki/Cairns_International_Airport,,750,2025-05-14T19:59:36+00:00
27131,YSCB,medium_airport,"Canberra Airport",-35.3069,149.195007,1886,OC,Australia,AU,"Australian Capital Territory",AU-ACT,ACT,Canberra,1,YSCB,YSCB,CBR,,,https://en.wikipedia.org/wiki/Canberra_Airport,"RAAF Base Fairbairn",750,2025-03-08T19:07:44+00:00
27101,YPDN,large_airport,"Darwin International Airport / RAAF Darwin",-12.41497,130.88185,103,OC,Australia,AU,"Northern Territory",AU-NT,NT,Darwin,1,YPDN,YPDN,DRW,,https://www.darwinairport.com.au/,https://en.wikipedia.org/wiki/Darwin_International_Airport,,1000,2023-04-11T00:54:10+00:00
26902,YBCG,medium_airport,"Gold Coast Airport",-28.165962,153.506641,21,OC,Australia,AU,Queensland,AU-QLD,QLD,"Gold Coast",1,YBCG,YBCG,OOL,,,https://en.wikipedia.org/wiki/Gold_Coast_Airport,,750,2022-01-21T19:07:44+00:00
26909,YBHM,medium_airport,"Hamilton Island Airport",-20.3581008911,148.95199585,15,OC,Australia,AU,Queensland,AU-QLD,QLD,"Hamilton Island",1,YBHM,YBHM,HTI,,http://www.hamiltonisland.com.au/airport/,https://en.wikipedia.org/wiki/Hamilton_Island_Airport,,750,2010-09-02T09:11:16+00:00
27058,YMHB,medium_airport,"Hobart International Airport",-42.8371,147.51295,13,OC,Australia,AU,Tasmania,AU-TAS,TAS,"Hobart (Cambridge)",1,YMHB,YMHB,HBA,,,https://en.wikipedia.org/wiki/Hobart_International_Airport,,750,2025-03-08T06:58:06+00:00
27107,YPKA,medium_airport,"Karratha Airport",-20.712200164799995,116.773002625,29,OC,Australia,AU,"Western Australia",AU-WA,WA,Karratha,1,YPKA,YPKA,KTA,,,https://en.wikipedia.org/wiki/Karratha_Airport,,750,2010-08-29T23:16:48+00:00
