Time Index,Year,Quarter,Aviation Turbine Fuel,Aviation Gasoline
1,1993,December,953.1,25.0
2,1994,March,945.4,24.5
3,1994,June,979.0,27.0
4,1994,September,1039.7,26.3
5,1994,December,1079.7,25.8
6,1995,March,1057.4,24.7
7,1995,June,1125.0,27.7
8,1995,September,1153.5,25.3
9,1995,December,1180.0,26.4
10,1996,March,1163.5,24.0
11,1996,June,1167.9,25.9
12,1996,September,1235.2,25.5
13,1996,December,1234.3,26.3
14,1997,March,1200.5,23.4
15,1997,June,1177.8,27.1
16,1997,September,1258.2,26.8
17,1997,December,1249.5,27.7
18,1998,March,1167.6,24.3
19,1998,June,1187.7,25.3
20,1998,September,1238.4,28.1
21,1998,December,1224.1,27.1
22,1999,March,1159.4,24.6
23,1999,June,1171.9,26.1
24,1999,September,1232.4,26.4
25,1999,December,1304.7,26.3
26,2000,March,1219.6,24.3
27,2000,June,1263.7,27.9
28,2000,September,1361.4,26.9
29,2000,December,1357.7,24.6
30,2001,March,1287.0,24.3
31,2001,June,1312.5,25.5
32,2001,September,1250.2,25.5
33,2001,December,1161.8,24.8
34,2002,March,1113.2,21.9
35,2002,June,1077.5,24.5
36,2002,September,1107.4,24.1
37,2002,December,1144.7,22.9
38,2003,March,1123.8,23.4
39,2003,June,955.9,23.0
40,2003,September,1012.1,23.1
41,2003,December,1130.5,22.2
42,2004,March,1067.6,21.3
43,2004,June,1118.4,23.4
44,2004,September,1176.1,23.2
45,2004,December,1190.1,22.6
46,2005,March,1199.6,21.4
47,2005,June,1164.2,23.6
48,2005,September,1210.1,23.0
49,2005,December,1365.7,21.8
50,2006,March,1390.1,20.1
51,2006,June,1393.6,21.5
52,2006,September,1486.6,22.9
53,2006,December,1518.8,22.4
54,2007,March,1415.7,21.0
55,2007,June,1415.8,23.3
56,2007,September,1476.9,22.8
57,2007,December,1545.7,22.1
58,2008,March,1496.6,19.8
59,2008,June,1550.3,23.1
60,2008,September,1578.2,27.3
61,2008,December,1575.8,27.5
62,2009,March,1461.9,19.0
63,2009,June,1557.0,22.2
64,2009,September,1650.1,21.7
65,2009,December,1683.4,19.6
66,2010,March,1660.9,17.5
67,2010,June,1680.9,21.0
68,2010,September,1766.4,21.0
69,2010,December,1776.7,19.1
70,2011,March,1756.0,18.3
71,2011,June,1768.5,20.2
72,2011,September,1844.8,21.0
73,2011,December,1851.9,21.4
74,2012,March,1812.4,20.1
75,2012,June,1827.3,21.6
76,2012,September,1927.8,21.1
77,2012,December,1979.1,20.4
78,2013,March,1915.9,18.2
79,2013,June,1950.2,21.3
80,2013,September,2072.6,19.9
81,2013,December,2088.8,18.4
82,2014,March,1968.2,16.2
83,2014,June,2038.0,18.2
84,2014,September,2041.0,17.6
85,2014,December,2074.9,16.9
86,2015,March,2009.5,15.7
87,2015,June,2017.4,18.0
88,2015,September,2105.4,17.2
89,2015,December,2124.5,16.0
90,2016,March,2171.6,16.1
91,2016,June,2114.6,18.3
92,2016,September,2215.3,17.7
93,2016,December,2274.3,17.1
94,2017,March,2238.3,17.5
95,2017,June,2197.6,16.9
96,2017,September,2332.8,15.7
97,2017,December,2356.4,16.6
98,2018,March,2311.3,15.3
99,2018,June,2312.3,18.6
100,2018,September,2396.0,15.9
101,2018,December,2399.5,16.3
102,2019,March,2344.0,16.1
